"","Authors","PubYear","Title","Study.Type","Field_plot.size_ha","Fitness.measure","Organism","Common.Name","Order","Functional.group","Nesting.Area","Foraging.Area","Treatment.1","Treatment.2","Treatment.3","Treatment.4","Treatment.5","AI.type","Control.AI.Rate","AI.Rate_T1","AI.Rate_T2","Application.Units","Control.Dose_T1","Dose_T1","Dose_T2","Dose_T3","Dose_T4","Dose.Units","Control_ppb","T1_ppb","T2_ppb","T3_ppb","T4_ppb","Study.control..n.","Study.T1..n.","Study.T2..n.","Study.T3..n.","Study.T4..n.","Study.Year","Indpen..Study.n.unit","Response.measure","Notes","Con_Mean","Con_SE","T1_Mean","T1_SE","T2_Mean","T2_SE","T3_Mean","T3_SE","T4_Mean","T4_SE","No_Treatments","No_Replicates","No_SamplePeriods","Study.Location","Mean.Data.Source","Graph.Digitizer","yi","vi","omnivore","pollinator","predator"
"49","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Opilionidae","harvestmen","Opilionidae","omnivore","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2000,"field plot","abundance","mean of pitfall traps per sampling year",0.6,0.2,0.4,0.1,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-1.09873550797707,0.606239259145608,1,0,0
"50","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Opilionidae","harvestmen","Opilionidae","omnivore","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean of pitfall traps per sampling year",0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",0,0.503008215204015,1,0,0
"51","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1997,"field plot","abundance","mean of pitfall traps per sampling year",1.2,0.3,0.9,0.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-1.02211025336756,0.578412427298893,0,0,1
"52","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1998,"field plot","abundance","mean of pitfall traps per sampling year",1.2,0.2,0.8,0.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-1.73725337565483,0.692771163626061,0,0,1
"53","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1999,"field plot","abundance","mean of pitfall traps per sampling year",2,0.5,1.3,0.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-1.59678780611523,0.747391521079125,0,0,1
"54","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2000,"field plot","abundance","mean of pitfall traps per sampling year",0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",0,0.503008215204015,0,0,1
"55","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean of pitfall traps per sampling year",0.4,0.1,0.4,0.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",0,0.503008215204015,0,0,1
"56","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Trombididae","red velvet mites","Trombidiformes","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1997,"field plot","abundance","mean of pitfall traps per sampling year",1.6,0.3,0.9,0.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-2.38492392452432,0.913542258831683,0,0,1
"57","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Trombididae","red velvet mites","Trombidiformes","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1998,"field plot","abundance","mean of pitfall traps per sampling year",0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",0,0.503008215204015,0,0,1
"58","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Trombididae","red velvet mites","Trombidiformes","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1999,"field plot","abundance","mean of pitfall traps per sampling year",1,0.3,0.5,0.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-1.70351708894594,0.712464359912009,0,0,1
"59","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Trombididae","red velvet mites","Trombidiformes","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2000,"field plot","abundance","mean of pitfall traps per sampling year",0.3,0.1,0.5,0.3,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",0.776923328421034,0.565250462286446,0,0,1
"60","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Trombididae","red velvet mites","Trombidiformes","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean of pitfall traps per sampling year",0.2,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.868626687827413,0.550448952309527,0,0,1
"61","Tasei et al.","2001","Hazards of imidacloprid seed coating to Bombus terrestris (Hymenoptera: Apidae) when applied to sunflower","field","18","abundance","Bombus terrestris","buff-tailed bumblebee","Hymenoptera","pollinator","ground","aboveground","control","IMI","","","","seed treatment",0,0.7,NA,"mg/seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,10,10,NA,NA,NA,2000,"colony","abundance","mean number of workers per colony (26 d)",132.9,19.3,131.7,14,NA,NA,NA,NA,NA,NA,2,"10",NA,"France","table 5","N",-0.0681616385089354,0.203926802469324,0,1,0
"62","Kunkel et al.","1999","Impact of halofenozide, imidacloprid, and bendiocarb on beneficial invertebrates and predatory activity in turfgrass","field plots","0.0004","abundance","earthworms","earthworm","Haplotaxida","detritivore","ground","ground","control","IMI","IMI","","","wettable powder",0,0.34,0.45,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,5,5,5,NA,NA,1995,"field plot","abundance","mean number of earthworms after 40 days (g)",15.7,3,28.8,4.5,29.6,4.8,NA,NA,NA,NA,3,"5",2,"Kentucky","Table 1","N",3.09220590079778,0.966449701699657,0,0,0
"63","Kunkel et al.","1999","Impact of halofenozide, imidacloprid, and bendiocarb on beneficial invertebrates and predatory activity in turfgrass","field plots","0.0004","abundance","earthworms","earthworm","Haplotaxida","detritivore","ground","ground","control","IMI","IMI","","","wettable powder",0,0.34,0.45,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,5,5,5,NA,NA,1996,"field plot","abundance","mean number of earthworms after 40 days (g)",8.8,1.2,7.4,0.8,9,1,NA,NA,NA,NA,3,"5",2,"Kentucky","Table 1","N",-1.2392428228388,0.497220449656623,0,0,0
"64","Kunkel et al.","1999","Impact of halofenozide, imidacloprid, and bendiocarb on beneficial invertebrates and predatory activity in turfgrass","field plots","0.0004","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","IMI","","","wettable powder",0,0.34,0.45,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,5,5,5,NA,NA,1995,"field plot","abundance","mean no. per sample (2 samples per plot)",31.8,10.6,15.2,1.2,19.4,7,NA,NA,NA,NA,3,"5",2,"Kentucky","Table 2","N",-1.98653856796374,0.799362921554614,0,0,0
"65","Kunkel et al.","1999","Impact of halofenozide, imidacloprid, and bendiocarb on beneficial invertebrates and predatory activity in turfgrass","field plots","0.0004","abundance","Oribatid mites","moss mites","Orabatida","detritivore","both","both","control","IMI","IMI","","","wettable powder",0,0.34,0.45,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,5,5,5,NA,NA,1995,"field plot","abundance","mean no. per sample (2 samples per plot)",34.8,11.8,109.2,58.5,53.8,29,NA,NA,NA,NA,3,"5",2,"Kentucky","Table 2","N",1.59153837613612,0.646059862816449,0,0,0
"66","Kunkel et al.","1999","Impact of halofenozide, imidacloprid, and bendiocarb on beneficial invertebrates and predatory activity in turfgrass","field plots","0.0004","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","IMI","","","wettable powder",0,0.34,0.45,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,5,5,5,NA,NA,1996,"field plot","abundance","mean no. per sample (2 samples per plot)",60,15.3,40,13.8,28.4,8.5,NA,NA,NA,NA,3,"5",2,"Kentucky","Table 2","N",-1.23918414170997,0.486469752686404,0,0,0
"67","Kunkel et al.","1999","Impact of halofenozide, imidacloprid, and bendiocarb on beneficial invertebrates and predatory activity in turfgrass","field plots","0.0004","abundance","Oribatid mites","moss mites","Orabatida","detritivore","both","both","control","IMI","IMI","","","wettable powder",0,0.34,0.45,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,5,5,5,NA,NA,1996,"field plot","abundance","mean no. per sample (2 samples per plot)",13.8,5.5,9.2,2.9,20,8.7,NA,NA,NA,NA,3,"5",2,"Kentucky","Table 2","N",-0.944467354154556,0.467365371416399,0,0,0
"68","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Coleoptera","beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean captures per plot",18.4,3.9,6.14,1.03,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 3","Y",-3.73364350703657,2.04231015581642,0,0,1
"69","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Coleoptera","beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2002,"field plot","abundance","mean captures per plot",21.9,4.7,9.63,2.05,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 3","Y",-2.9395224936973,1.2977699757325,0,0,1
"70","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Coleoptera","beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2003,"field plot","abundance","mean captures per plot",14.3,4.1,2.66,1.64,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 3","Y",-3.23808537686085,1.50797963526788,0,0,1
"71","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Coleoptera","beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2004,"field plot","abundance","mean captures per plot",7.9,1.73,4.5,0.82,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 3","Y",-2.18158591000102,0.922197864668568,0,0,1
"72","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Coleoptera","beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2005,"field plot","abundance","mean captures per plot",41.6,4.1,8.4,2.05,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 3","Y",-8.89707777191191,7.27191873716605,0,0,1
"73","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Carabidae","ground beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean captures per plot",8.38,1.35,2.23,1.23,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-4.13665517171452,1.58820772111021,0,0,1
"74","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Carabidae","ground beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2002,"field plot","abundance","mean captures per plot",11.2,2.1,0.29,0.37,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-6.28514375716985,5.1804695631835,0,0,1
"75","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Carabidae","ground beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2003,"field plot","abundance","mean captures per plot",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",NA,NA,0,0,1
"76","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Carabidae","ground beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2004,"field plot","abundance","mean captures per plot",10.2,4.7,0.83,0.37,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-2.44145267011058,1.24340074129134,0,0,1
"77","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Carabidae","ground beetle","Coleoptera","predator","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2005,"field plot","abundance","mean captures per plot",20.8,7.8,1.71,0.87,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-2.98795922663114,1.59845764041143,0,0,1
"78","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean captures per plot",8.9,3.6,2.79,1.11,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-1.99235188634575,0.923029658499377,0,0,1
"79","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2002,"field plot","abundance","mean captures per plot",3.55,1.66,0.31,0.18,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-2.38367362934308,1.20110481044124,0,0,1
"80","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2003,"field plot","abundance","mean captures per plot",2.18,1.2,0.6,0.28,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-1.57511459543172,0.784442772187172,0,0,1
"81","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2004,"field plot","abundance","mean captures per plot",3.9,1.26,1.55,0.83,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-1.91329616648504,0.769049641696513,0,0,1
"82","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Staphylinidae","rove beetle","Coleoptera","predator","aboveground","aboveground","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2005,"field plot","abundance","mean captures per plot",16.75,4.72,2.31,1.12,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 4","Y",-3.65660928500765,2.01471536346606,0,0,1
"83","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean captures per plot",87,21,12,11,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 5","Y",-3.88634429024133,1.76055665685116,0,0,0
"84","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2002,"field plot","abundance","mean captures per plot",253,54,111,29,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 5","Y",-2.84587560741557,1.16757716190331,0,0,0
"85","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2003,"field plot","abundance","mean captures per plot",102,25,64,13,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 5","Y",-1.65661470397021,0.732477137046367,0,0,0
"86","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2004,"field plot","abundance","mean captures per plot",38,13,18,12,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 5","Y",-1.38869219079757,0.62503604539835,0,0,0
"87","Peck","2009b","Long-term effects of imidacloprid on the abundance of surface- and soil-active nontarget fauna in turf","field","0.01","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2005,"field plot","abundance","mean captures per plot",146,29,96,17,NA,NA,NA,NA,NA,NA,2,"4",NA,"New York","Figure 5","Y",-1.82716997044927,0.763014506606054,0,0,0
