Authors,Year,Study Type,Organism,Common Name,Functional group,Habitat,AI,AI type,Application Rate,Application Units,Dose,Dose Units,Conversion,Individuals (n),Fitness measure,n measure,Response measure,Notes,Mean,SE,SD,Treatment,Replicates,No. Sample Periods,Study Location,Data Source,Graph Digitizer
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,54,mg,,,,132,reproduction,total,no. days to 1st oviposition,means within plant system,8.86,1.73,,3,11,,Minnesota,table 1,N
Albajes et al.,2003,field,araneae,spiders,predator,,control,untreated,0,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,16,2.8,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,control,untreated,0,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,9.7,1,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,control,untreated,0,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,17.7,2.3,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,control,untreated,0,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,8.2,1.6,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,control,untreated,0,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,3.6,1.7,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,IMI,treated seed,4.9,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,15.6,2.9,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,IMI,treated seed,4.9,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,9,1,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,IMI,treated seed,4.9,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,16.8,1.9,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,IMI,treated seed,4.9,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,7.1,1.2,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,araneae,spiders,predator,,IMI,treated seed,4.9,g/ha,,,,10000,abundance,% of total caught,abundance,mean of pitfall captures,4.2,0.8,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,control,untreated,0,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,12.3,3.5,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,control,untreated,0,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,7.5,2,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,control,untreated,0,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,8.2,1.8,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,control,untreated,0,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,26.6,5.4,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,control,untreated,0,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,10.9,2.4,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,IMI,treated seed,4.9,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,7.1,2.2,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,IMI,treated seed,4.9,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,3,0.7,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,IMI,treated seed,4.9,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,10.5,3.7,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,IMI,treated seed,4.9,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,21.7,4.3,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,carabidae,ground beetles,predator,,IMI,treated seed,4.9,g/ha,,,,12542,abundance,% of total caught,abundance,mean of pitfall captures,15.1,3.6,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,control,untreated,0,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,1.8,0.3,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,control,untreated,0,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,0.4,0.1,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,control,untreated,0,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,1,0.4,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,control,untreated,0,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,0.6,0.2,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,control,untreated,0,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,0.1,0.1,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,IMI,treated seed,4.9,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,3.2,0.9,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,IMI,treated seed,4.9,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,0.3,0.1,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,IMI,treated seed,4.9,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,0.8,0.3,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,IMI,treated seed,4.9,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,0.4,0.1,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,opilionidae,harvestmen,predator,,IMI,treated seed,4.9,g/ha,,,,857,abundance,% of total caught,abundance,mean of pitfall captures,0.1,0.1,,2,4,,Spain,table 3,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,control,untreated,0,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,1.2,0.3,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,control,untreated,0,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,1.2,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,control,untreated,0,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,2,0.5,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,control,untreated,0,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,0.1,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,control,untreated,0,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,0.4,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,IMI,treated seed,4.9,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,0.9,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,IMI,treated seed,4.9,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,0.8,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,IMI,treated seed,4.9,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,1.3,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,IMI,treated seed,4.9,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,0.1,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Staphylinidae,rove beetles,predator,,IMI,treated seed,4.9,g/ha,,,,743,abundance,% of total caught,abundance,mean of pitfall captures,0.4,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,control,untreated,0,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,1.6,0.3,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,control,untreated,0,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.1,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,control,untreated,0,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,1,0.3,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,control,untreated,0,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.3,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,control,untreated,0,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.2,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,IMI,treated seed,4.9,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.9,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,IMI,treated seed,4.9,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.1,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,IMI,treated seed,4.9,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.5,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,IMI,treated seed,4.9,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.5,0.3,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Trombidiidae,red velvet mites,predator,,IMI,treated seed,4.9,g/ha,,,,514,abundance,% of total caught,abundance,mean of pitfall captures,0.1,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,control,untreated,0,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.2,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,control,untreated,0,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.4,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,control,untreated,0,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.7,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,control,untreated,0,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.2,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,control,untreated,0,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.2,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,IMI,treated seed,4.9,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.3,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,IMI,treated seed,4.9,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.6,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,IMI,treated seed,4.9,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.8,0.2,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,IMI,treated seed,4.9,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.3,0.1,,2,4,,Spain,table 2,N
Albajes et al.,2003,field,Heteroptera,true bugs,predator,,IMI,treated seed,4.9,g/ha,,,,343,abundance,% of total caught,abundance,mean of pitfall captures,0.3,0.1,,2,4,,Spain,table 2,N
Moser and Obrycki,2009,greenhouse,Harmona axyridis,lady beetle,predator,,THX,treated seed,0.25,mg/seed,,,,90,neurotoxic symptoms,total,time to neurotoxic symptoms,mean time spent on plant (min),228,35,,3,15,,Kentucky,results text,N
Moser and Obrycki,2009,greenhouse,Harmona axyridis,lady beetle,predator,,CLO,treated seed,0.25,mg/seed,,,,90,neurotoxic symptoms,total,time to neurotoxic symptoms,mean time spent on plant (min),92,29,,3,15,,Kentucky,results text,N
Moser and Obrycki,2009,greenhouse,Harmona axyridis,lady beetle,predator,,control,untreated,0,mg/seed,,,,90,neurotoxic symptoms,total,time to neurotoxic symptoms,mean time spent on plant (min) - no symptoms,0,0,,3,15,,Kentucky,results text,N
He et al.,2012,lab,Serangium japonicum,lady beetle,predator,,IMI,commercial liquid,,,5,ppm,,10,feeding,total,consumption of eggs,mean consumption (24 hour exposure),445.67,19.73,,2,10,,China,table 2,N
He et al.,2012,lab,Serangium japonicum,lady beetle,predator,,control,water,,,0,ppm,,10,feeding,total,consumption of eggs,mean consumption (24 hour exposure),753,14.46,,2,10,,China,table 2,N
Fogel et al.,2016,lab,Eriopsis connexa,lady bird beetle,predator,,control,water,,,0,mg/L,,30,survival,total,percent survival (pupae),mean survival,100,0,,3,3,,Argentina,table 1,N
Fogel et al.,2016,lab,Eriopsis connexa,lady bird beetle,predator,,ACT,commercial liquid,,,100,mg/L,,30,survival,total,percent survival (pupae),mean survival,95.8,4.1,,3,3,,Argentina,table 1,N
Fogel et al.,2016,lab,Eriopsis connexa,lady bird beetle,predator,,ACT,commercial liquid,,,200,mg/L,,30,survival,total,percent survival (pupae),mean survival,85.2,9.7,,3,3,,Argentina,table 1,N
Fogel et al.,2016,lab,Eriopsis connexa,lady bird beetle,predator,,control,water,,,0,mg/L,,30,fitness,total,adults malformed,mean adults,0,0,,3,3,,Argentina,table 1,N
Fogel et al.,2016,lab,Eriopsis connexa,lady bird beetle,predator,,ACT,commercial liquid,,,100,mg/L,,30,fitness,total,adults malformed,mean adults,82.7,10.5,,3,3,,Argentina,table 1,N
Fogel et al.,2016,lab,Eriopsis connexa,lady bird beetle,predator,,ACT,commercial liquid,,,200,mg/L,,30,fitness,total,adults malformed,mean adults,100,0,,3,3,,Argentina,table 1,N
Tasei et al.,2001,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,untreated seed,0,mg/seed,,,,1000,abundance,total,loss of foraging workers,mean after 9 days,35.6,5.6,,2,10,,France,table 4,N
Tasei et al.,2001,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,treated seed,0.7,mg/seed,,,,1000,abundance,total,loss of foraging workers,mean after 9 days,35.6,3.9,,2,10,,France,table 4,N
Tasei et al.,2001,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,untreated seed,0,mg/seed,,,,1000,reproduction,total,population increase,mean after 26 days,132.9,19.3,,2,10,,France,table 5,N
Tasei et al.,2001,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,treated seed,0.7,mg/seed,,,,1000,reproduction,total,population increase,mean after 26 days,131.7,14,,2,10,,France,table 5,N
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,reproduction,total,queen production,mean number of queens produced,13.72,5.7,,3,25,,United Kingdom,figure 2,N
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,reproduction,total,queen production,mean number of queens produced,2,1.13,,3,25,,United Kingdom,figure 2,N
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,reproduction,total,queen production,mean number of queens produced,1.4,0.53,,3,25,,United Kingdom,figure 2,N
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,0,0,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,39.25,3.21,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,72.86,4.6,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,126,10.2,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,210.82,21.4,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,279.82,30.2,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,278.99,30.2,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,232.55,31.3,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,188.91,27.9,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,0,0,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,35.52,2.8,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,57.97,6.6,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,108.34,12.1,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,179.18,13.03,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,220.24,20.4,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,194.28,19.5,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,151.57,21.5,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,6,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,122.82,17.2,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,0,0,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,26.99,1.9,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,65.16,3.7,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,85.64,10.3,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,134.04,19.4,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,175.93,21.4,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,150.79,22.5,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,117.29,16.7,,3,25,8,United Kingdom,figure 1,Y
Whitehorn et al.,2012,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,pure grade,12,µg/kg,,,,386,condition,total,colony weight,changes in colony weight over time,93.1,16.8,,3,25,8,United Kingdom,figure 1,Y
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,21,movement,total,foraging trips,mean foraging trips per bee,5.4,1.4,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,not specified,6,µg/kg,,,,24,movement,total,foraging trips,mean foraging trips per bee,5.96,1.9,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,21,movement,total,foraging for nectar,mean minutes foraging for nectar,25.44,6.1,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,not specified,6,µg/kg,,,,24,movement,total,foraging for nectar,mean minutes foraging for nectar,27.26,8.4,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,21,movement,total,nectar collected,mean weight of nectar,42.6,9.86,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,not specified,6,µg/kg,,,,24,movement,total,nectar collected,mean weight of nectar,44.7,12.49,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,21,movement,total,foraging for pollen,mean minutes foraging for pollen,73.8,14.38,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,not specified,6,µg/kg,,,,24,movement,total,foraging for pollen,mean minutes foraging for pollen,77.85,24.96,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water/pollen,0,µg/kg,,,,21,movement,total,pollen collected,mean weight of pollen,57.32,11.22,,2,,,United Kingdom,results text,N
Feltham et al.,2014,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,IMI,not specified,6,µg/kg,,,,24,movement,total,pollen collected,mean weight of pollen,41.07,12.72,,2,,,United Kingdom,results text,N
Rundlof et al.,2015,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,untreated seed,,,0,g/L,,2400,condition,total,colony weight,mean weight of nest structure,261,24.7,,2,8,,Sweden,ex. table 5,N
Rundlof et al.,2015,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,CLO,treated seed,,,400,g/L,,2400,condition,total,colony weight,mean weight of nest structure,139.4,24.7,,2,8,,Sweden,ex. table 5,N
Rundlof et al.,2015,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,untreated seed,,,0,g/L,,2400,reproduction,total,queen production,no. of queen cocoons,70,12.3,,2,8,,Sweden,ex. table 5,N
Rundlof et al.,2015,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,CLO,treated seed,,,400,g/L,,2400,reproduction,total,queen production,no. of queen cocoons,20.6,8.3,,2,8,,Sweden,ex. table 5,N
Rundlof et al.,2015,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,untreated seed,,,0,g/L,,2400,reproduction,total,male/worker cocoons,no. of male/worker cocoons,241,29.8,,2,8,,Sweden,ex. table 5,N
Rundlof et al.,2015,field,Bombus terrestris,buff-tailed bumblebee,pollinator,,CLO,treated seed,,,400,g/L,,2400,reproduction,total,male/worker cocoons,no. of male/worker cocoons,142,29.8,,2,8,,Sweden,ex. table 5,N
Stanley et al.,2015,semi-field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sucrose,,,0,µg/L,,792,movement,total,movement from colony,total no. enters/exits to colony,53.9,22.3,,3,8,,United Kingdom,ex. table 1,N
Stanley et al.,2015,semi-field,Bombus terrestris,buff-tailed bumblebee,pollinator,,THX,analytical grade,,,2.4,µg/L,,792,movement,total,movement from colony,total no. enters/exits to colony,44.3,12.5,,3,8,,United Kingdom,ex. table 1,N
Stanley et al.,2015,semi-field,Bombus terrestris,buff-tailed bumblebee,pollinator,,THX,analytical grade,,,10,µg/L,,792,movement,total,movement from colony,total no. enters/exits to colony,25.3,12,,3,8,,United Kingdom,ex. table 1,N
Stanley et al.,2015,semi-field,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sucrose,,,0,µg/L,,792,movement,total,pollen collection,no. bees returning with pollen,7.13,4.28,,3,8,,United Kingdom,ex. table 1,N
Stanley et al.,2015,semi-field,Bombus terrestris,buff-tailed bumblebee,pollinator,,THX,analytical grade,,,2.4,µg/L,,792,movement,total,pollen collection,no. bees returning with pollen,3.57,3.41,,3,8,,United Kingdom,ex. table 1,N
Stanley et al.,2015,semi-field,Bombus terrestris,buff-tailed bumblebee,pollinator,,THX,analytical grade,,,10,µg/L,,792,movement,total,pollen collection,no. bees returning with pollen,1.5,1.13,,3,8,,United Kingdom,ex. table 1,N
Piiroinen et al.,2016,lab,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water,0,µg/kg,,,,150,reproduction,total,fecundity,"total no. males, eggs, larvae",99.27,13.44,,2,15,,United Kingdom,in text,N
Piiroinen et al.,2016,lab,Bombus terrestris,buff-tailed bumblebee,pollinator,,CLO,not specified,1,µg/kg,,,,150,reproduction,total,fecundity,"total no. males, eggs, larvae",111.67,14.9,,2,15,,United Kingdom,in text,N
Piiroinen et al.,2016,lab,Bombus terrestris,buff-tailed bumblebee,pollinator,,control,sugar water,0,µg/kg,,,,150,movement,total,sugar collection (g),mean sugar collected per day per worker,0.57,0.02,,2,15,7,United Kingdom,supplemental,N
